FIPS_Code,State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,US,United States,163140305.00,157154185.00,5986120.00,3.70,160611064.00,147677360.00,12933704.00,8.10,65712.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,AL,Alabama,2237278.00,2169395.00,67883.00,3.00,2230118.00,2099062.00,131056.00,5.90,51771.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,AL,"Autauga County, AL",26281.00,25561.00,720.00,2.70,25838.00,24576.00,1262.00,4.90,58233.00,112.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,AL,"Baldwin County, AL",97424.00,94713.00,2711.00,2.80,96763.00,91338.00,5425.00,5.60,59871.00,115.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005,AL,"Barbour County, AL",8502.00,8177.00,325.00,3.80,8587.00,7982.00,605.00,7.00,35972.00,69.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,AL,"Bibb County, AL",8639.00,8371.00,268.00,3.10,8640.00,8067.00,573.00,6.60,47918.00,92.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,AL,"Blount County, AL",25196.00,24516.00,680.00,2.70,24661.00,23653.00,1008.00,4.10,52902.00,102.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,AL,"Bullock County, AL",4785.00,4608.00,177.00,3.70,4818.00,4553.00,265.00,5.50,31906.00,61.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,AL,"Butler County, AL",9172.00,8832.00,340.00,3.70,9056.00,8255.00,801.00,8.80,39944.00,77.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,AL,"Calhoun County, AL",46082.00,44440.00,1642.00,3.60,46240.00,42980.00,3260.00,7.10,47747.00,92.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,AL,"Chambers County, AL",15749.00,15287.00,462.00,2.90,15865.00,14787.00,1078.00,6.80,42015.00,81.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,AL,"Cherokee County, AL",11726.00,11386.00,340.00,2.90,11513.00,10983.00,530.00,4.60,45982.00,88.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,AL,"Chilton County, AL",19841.00,19296.00,545.00,2.70,19592.00,18618.00,974.00,5.00,49692.00,96.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
